Condition,Kras,wt,cassette,esr1y,esr1,set,tiempo,,,,,,,
0.817,1,0,0,0,0,1,2,,,,,,,
0.974,1,0,0,0,0,1,2,,,,,,,
0.906,1,0,0,0,0,1,3,,,,,,,
0.799,1,0,0,0,0,1,3,,,,,,,
0.679,1,0,0,0,0,1,3,,,,,,,
0.758,1,0,0,0,0,1,3,,,,,,,
0.734,1,0,0,0,0,1,3,,,,,,,
0.654,1,0,0,0,0,1,3,,,,,,,
0.737,1,0,0,0,0,1,3,,,,,,,
0.610,1,0,0,0,0,1,3,,,,,,,
0.720,1,0,0,0,0,1,3,,,,,,,
0.758,1,0,0,0,0,1,3,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.000,1,0,0,0,0,0,0,,,,,,,
1.005,1,0,0,0,0,0,1,,,,,,,
0.900,1,0,0,0,0,0,1,,,,,,,
0.794,1,0,0,0,0,0,1,,,,,,,
0.995,1,0,0,0,0,0,1,,,,,,,
0.963,1,0,0,0,0,0,1,,,,,,,
0.953,1,0,0,0,0,0,1,,,,,,,
0.961,1,0,0,0,0,0,1,,,,,,,
0.969,1,0,0,0,0,0,1,,,,,,,
1.009,1,0,0,0,0,0,1,,,,,,,
0.621,1,0,0,0,0,0,2,,,,,,,
0.693,1,0,0,0,0,0,2,,,,,,,
0.625,1,0,0,0,0,0,2,,,,,,,
1.140,1,0,0,0,0,0,2,,,,,,,
1.093,1,0,0,0,0,0,2,,,,,,,
0.959,1,0,0,0,0,0,2,,,,,,,
0.827,1,0,0,0,0,0,2,,,,,,,
0.872,1,0,0,0,0,0,2,,,,,,,
0.869,1,0,0,0,0,0,3,,,,,,,
0.712,1,0,0,0,0,0,3,,,,,,,
0.640,1,0,0,0,0,0,3,,,,,,,
0.651,1,0,0,0,0,0,3,,,,,,,
1.012,1,0,0,0,0,0,3,,,,,,,
0.815,1,0,0,0,0,0,3,,,,,,,
1.004,1,0,0,0,0,0,3,,,,,,,
0.926,1,0,0,0,0,0,3,,,,,,,
0.704,1,0,0,0,0,0,3,,,,,,,
0.765,1,0,0,0,0,0,3,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.000,0,0,0,0,1,1,0,,,,,,,
1.106,0,0,0,0,1,1,1,,,,,,,
0.972,0,0,0,0,1,1,1,,,,,,,
0.882,0,0,0,0,1,1,1,,,,,,,
1.001,0,0,0,0,1,1,1,,,,,,,
0.911,0,0,0,0,1,1,1,,,,,,,
0.891,0,0,0,0,1,1,1,,,,,,,
0.859,0,0,0,0,1,1,1,,,,,,,
0.874,0,0,0,0,1,1,1,,,,,,,
0.990,0,0,0,0,1,1,1,,,,,,,
0.901,0,0,0,0,1,1,2,,,,,,,
0.980,0,0,0,0,1,1,2,,,,,,,
0.796,0,0,0,0,1,1,2,,,,,,,
0.904,0,0,0,0,1,1,2,,,,,,,
0.831,0,0,0,0,1,1,2,,,,,,,
0.828,0,0,0,0,1,1,2,,,,,,,
0.760,0,0,0,0,1,1,2,,,,,,,
0.591,0,0,0,0,1,1,2,,,,,,,
0.639,0,0,0,0,1,1,3,,,,,,,
0.720,0,0,0,0,1,1,3,,,,,,,
0.784,0,0,0,0,1,1,3,,,,,,,
0.804,0,0,0,0,1,1,3,,,,,,,
0.780,0,0,0,0,1,1,3,,,,,,,
0.832,0,0,0,0,1,1,3,,,,,,,
0.793,0,0,0,0,1,1,3,,,,,,,
0.698,0,0,0,0,1,1,3,,,,,,,
0.711,0,0,0,0,1,1,3,,,,,,,
0.751,0,0,0,0,1,1,3,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
1.000,0,0,0,0,1,0,0,,,,,,,
0.970,0,0,0,0,1,0,1,,,,,,,
0.927,0,0,0,0,1,0,1,,,,,,,
0.945,0,0,0,0,1,0,1,,,,,,,
0.929,0,0,0,0,1,0,1,,,,,,,
0.772,0,0,0,0,1,0,1,,,,,,,
0.868,0,0,0,0,1,0,1,,,,,,,
0.904,0,0,0,0,1,0,1,,,,,,,
0.841,0,0,0,0,1,0,1,,,,,,,
0.896,0,0,0,0,1,0,1,,,,,,,
0.815,0,0,0,0,1,0,2,,,,,,,
0.728,0,0,0,0,1,0,2,,,,,,,
0.961,0,0,0,0,1,0,2,,,,,,,
0.652,0,0,0,0,1,0,2,,,,,,,
0.574,0,0,0,0,1,0,2,,,,,,,
0.603,0,0,0,0,1,0,2,,,,,,,
0.760,0,0,0,0,1,0,2,,,,,,,
0.813,0,0,0,0,1,0,2,,,,,,,
0.820,0,0,0,0,1,0,3,,,,,,,
0.943,0,0,0,0,1,0,3,,,,,,,
0.910,0,0,0,0,1,0,3,,,,,,,
1.045,0,0,0,0,1,0,3,,,,,,,
0.624,0,0,0,0,1,0,3,,,,,,,
0.576,0,0,0,0,1,0,3,,,,,,,
0.551,0,0,0,0,1,0,3,,,,,,,
0.732,0,0,0,0,1,0,3,,,,,,,
0.842,0,0,0,0,1,0,3,,,,,,,
0.756,0,0,0,0,1,0,3,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
1.000,0,0,0,1,0,1,0,,,,,,,
0.835,0,0,0,1,0,1,1,,,,,,,
0.962,0,0,0,1,0,1,1,,,,,,,
0.884,0,0,0,1,0,1,1,,,,,,,
0.745,0,0,0,1,0,1,1,,,,,,,
0.833,0,0,0,1,0,1,1,,,,,,,
1.036,0,0,0,1,0,1,1,,,,,,,
0.822,0,0,0,1,0,1,1,,,,,,,
0.793,0,0,0,1,0,1,1,,,,,,,
0.868,0,0,0,1,0,1,1,,,,,,,
0.660,0,0,0,1,0,1,2,,,,,,,
0.932,0,0,0,1,0,1,2,,,,,,,
0.836,0,0,0,1,0,1,2,,,,,,,
0.745,0,0,0,1,0,1,2,,,,,,,
0.757,0,0,0,1,0,1,2,,,,,,,
0.837,0,0,0,1,0,1,2,,,,,,,
0.682,0,0,0,1,0,1,2,,,,,,,
0.705,0,0,0,1,0,1,2,,,,,,,
0.906,0,0,0,1,0,1,3,,,,,,,
0.839,0,0,0,1,0,1,3,,,,,,,
0.552,0,0,0,1,0,1,3,,,,,,,
0.579,0,0,0,1,0,1,3,,,,,,,
0.571,0,0,0,1,0,1,3,,,,,,,
0.592,0,0,0,1,0,1,3,,,,,,,
0.747,0,0,0,1,0,1,3,,,,,,,
0.627,0,0,0,1,0,1,3,,,,,,,
